Symbol,Date,Jahr,Monat,Wochentag,KW,Quartal,Open,High,Low,Close,Volume,Rendite_Tag,Spanne_Pct,Index_100,MA_20,MA_50,MA_200,Vol_20d_Ann,Drawdown_Pct,Vol_Avg_20d
SMCI,2023-07-24,2023,7,1,30,3,30.35,31.276,29.473,30.937,29033000,0.020518,0.061175,1309.23,27.1253,23.2338,12.4599,0.4372,-0.0284,29060900.0
SMCI,2023-07-25,2023,7,2,30,3,30.916,32.399,30.916,32.135,23513000,0.038724,0.047969,1359.92,27.6496,23.6037,12.5903,0.4383,0.0,28816250.0
SMCI,2023-07-26,2023,7,3,30,3,31.953,32.363,30.719,31.736,23560000,-0.012416,0.053517,1343.04,28.1055,23.9694,12.7182,0.443,-0.0124,28778000.0
SMCI,2023-07-27,2023,7,4,30,3,32.5,33.664,32.101,32.734,32282000,0.031447,0.04869,1385.27,28.5625,24.3484,12.8525,0.4359,0.0,29058750.0
SMCI,2023-07-28,2023,7,5,30,3,33.449,33.779,32.484,33.45,20439000,0.021873,0.039866,1415.57,29.0554,24.7257,12.9916,0.4315,0.0,28717400.0
SMCI,2023-07-31,2023,7,1,31,3,33.515,33.63,32.102,33.027,23549000,-0.012646,0.047598,1397.67,29.4605,25.0776,13.1288,0.4193,-0.0126,28618350.0
SMCI,2023-08-01,2023,8,2,31,3,32.249,33.788,32.0,33.756,20667000,0.022073,0.055875,1428.52,29.9023,25.4236,13.2714,0.4164,0.0,28796250.0
SMCI,2023-08-02,2023,8,3,31,3,32.866,33.775,31.202,31.961,27797000,-0.053176,0.082463,1352.56,30.2254,25.7345,13.4036,0.4811,-0.0532,29156200.0
SMCI,2023-08-03,2023,8,4,31,3,31.4,32.437,31.3,32.121,14907000,0.005006,0.036326,1359.33,30.5788,26.0473,13.5372,0.4694,-0.0484,29022650.0
SMCI,2023-08-04,2023,8,5,31,3,32.4,34.797,32.022,33.809,34715000,0.052551,0.086659,1430.77,30.9691,26.3996,13.6782,0.4825,0.0,29322800.0
SMCI,2023-08-07,2023,8,1,32,3,35.2,35.7,34.083,35.329,33192000,0.044958,0.047443,1495.09,31.3859,26.771,13.8272,0.4877,0.0,29726800.0
SMCI,2023-08-08,2023,8,2,32,3,34.48,35.377,34.103,34.74,45527000,-0.016672,0.037357,1470.17,31.7682,27.052,13.9731,0.4986,-0.0167,30537950.0
SMCI,2023-08-09,2023,8,3,32,3,29.714,29.803,26.025,26.613,114567000,-0.233938,0.145168,1126.24,31.7157,27.1459,14.0755,1.0066,-0.2467,34879200.0
SMCI,2023-08-10,2023,8,4,32,3,26.542,27.979,26.23,27.712,56630000,0.041296,0.066679,1172.75,31.631,27.232,14.1818,0.9915,-0.2156,36178150.0
